"id","date","distance","time","pace","avg_hr","calories","cadence","notes"
1,"2025-04-17","2.15","00:14:04","00:06:32",157,178,160,"rano"
2,"2025-04-20","2.01","00:11:12","00:05:34",160,147,175,"rano"
3,"2025-04-26","2.01","00:11:35","00:05:47",155,146,174,"rano"
4,"2025-04-27","2.01","00:12:06","00:06:01",158,158,173,"rano"
5,"2025-04-28","2.01","00:10:54","00:05:26",139,164,177,"rano"
6,"2025-04-29","2.00","00:12:08","00:06:04",155,153,173,"rano"
7,"2025-04-30","2.00","00:12:21","00:06:10",148,150,171,"rano"
8,"2025-05-01","2.01","00:11:45","00:05:52",152,154,173,"rano"
9,"2025-05-02","2.07","00:13:20","00:06:27",145,155,169,"rano"
10,"2025-05-03","2.01","00:11:26","00:05:42",151,149,175,"rano"
11,"2025-05-04","2.01","00:12:04","00:06:01",153,152,174,"rano"
